name,price,status,shipping,free_returns,items_sold
"Nike Air Force 1 Mid QS Shoes ""NYC"" White Blue DH5622-100 Men's Multi Size NEW",4990,Brand New,0,False,0
Nike Air Griffey Max 2 Sneakers Shoes 'Fresh Water' 442171-001 Men Size 10 2011,3999,Pre-Owned,0,False,
Nike Air Force 1 '07 LV8 Shoes “Psychic Blue” CZ0337-400 Men's Multi Size NEW,4990,Brand New,0,False,0
Nike FLY BY MID 2 Mens Black Grey Red CU3503 005 Basketball Sneakers Shoes,495,Brand New,0,False,0
Nike AIR MAX SC Men's White Wolf Grey Game CW4555-101 Athletic Running Sneakers,495,Brand New,0,False,
Nike Zoom Freak 3 'Primary Colors' Light Stone Green Strike DA0694-100 Men's NEW,799,Brand New,0,True,0
Nike Men's KD Trey 5 VIII White Basketball Shoes CK2090-100,999,Brand New,435,False,0
"Nike Air Force 1 '07 Shoes ""Light Bone"" White CT2302-001 Men's Multi Size NEW",1990,Brand New,595,False,0
Nike Air Jordan 1 Low Teddy Bear 2021 GS Size 5.5y-7y D02233-264 FAST SHIPPING,999,Brand New,0,False,0
Nike Dunk Low Retro Black White Panda Men Women Gs Ps Td Size,8000,Brand New,0,False,0
Nike KD Trey 5 VIII Basketball Shoes Black Red White CK2090-002 Men's NEW,299,Brand New,0,True,0
Nike REVOLUTION 5 Mens Grey White BQ6714-002 EXTRA WIDE 4E Sneakers Shoes,995,Brand New,0,False,0
Nike Air Force 1 '07 Shoes White Gum Brown DJ2739-100 Men's Multi Size NEW,3890,Brand New,10,False,0
Nike DOWNSHIFTER 11 Mens White Navy Obsidian CW3411-402 Athletic Sneakers Shoes,995,Brand New,0,False,
,,,,False,
Nike Legend Essential Men's Shoes Sneakers Gym Cross Training Gym NIB,551,Brand New,95,True,0
Nike Air Max 90 Shoes Black White Persian Violet DB0625-001 Men's Multi Size NEW,3990,Brand New,0,False,0
Nike Air Jordan 3 Retro Pine Green CT8532 030 Sizes ,9999,Brand New,0,True,0
"Nike Air Force 1 07 Shoes ""First Use"" White University Blue DA8478-100 Men's NEW",13490,Brand New,10,False,0
Nike COURT VISION LOW Mens All Black CD5463-002 Low Top Leather Sneakers Shoes,495,Brand New,0,False,0
NIKE Dunk Low Retro UNLV Varsity Red Basketball Shoes - Size 15 Preowned,1000,Pre-Owned,115,False,
Nike React Infinity Run Flyknit 2 Running Shoes Black White CT2357-002 Men's NEW,799,Brand New,0,True,0
Nike Air Force 1 '07 LV8 EMB Shoes Black Chile Red Gray Fog DC8874-001 Men's NEW,2990,Brand New,0,False,0
Nike Air Zoom Winflo 7 Running Shoes Gray Black White CJ0291-003 Men's NEW,299,Brand New,0,True,
Nike Air Force 1 LV8 Low Triple Red Sneakers CW6999-600 Men's Lifestyle Shoes ,4000,Brand New,0,False,0
Nike Air Zoom BB NXT Shoes White/Crimson/Hyper Violet CK5707-100 Men's Sizes ,10997,Brand New,0,False,0
"Nike Air Max 90 PRM Shoes ""Hemp"" White Sanddrift DA1641-201 Mens Size",13997,Brand New,0,False,
Nike Air Jordan 1 Retro Mid Game Royal Blue White Black 554724/554725-140 Men GS,11497,Brand New,0,False,
Nike AIR MONARCH IV Mens White Navy 102 Walking Shoes Medium & WIDE WIDTH 4E ,995,Brand New,0,False,0
Nike Air Force 1 '07 Low Triple Men's Black CW2288-001 Size 7 - 13,995,Brand New,0,False,0
Nike Air Max 96 II Goldenrod White Black Navy CZ1921-100 Men's Shoes NEW,7490,Brand New,115,False,0
Nike Air Force 1 '07 Shoes Black University Red DC2911-001 Men's Multi Size NEW,13990,Brand New,0,False,0
Nike Air Jordan 4 Retro University Blue UNC 2021 CT8527-400 Men's/GS/PS/TD Sizes,14997,Brand New,0,False,0
Nike Free Train Instinct Training Sneakers Shoes 833274 860 Orange Men Size 14,499,Pre-Owned,0,True,
Nike COURT VISION LOW Mens Black White CD5463-001 Low Top Leather Sneakers Shoes,495,Brand New,0,False,0
Nike Air Jordan 1 Low UNC White Powder Blue Obsidian 553558-144 Men's & GS Sizes,13997,Brand New,0,False,0
"Nike Air Force 1 '07 LX Shoes ""Denim"" White Blue Red DJ5174-100 Men's Multi Size",5000,Brand New,0,False,0
NIKE AIR ZOOM PEGASUS 37 RUNNING SHOES BQ9646-005 BLACK / BLACK / SMOKE GREY  ,0,Brand New,0,True,0
Nike Air Monarch IV Men's Shoes 415445-002 Size 9 thru 12 Black/White/Blue,497,New (Other),0,True,0
Air Jordan 1 Mid University Gold White Black Yellow 554724-170,3800,Brand New,95,False,0
Nike Air Jordan 1 Mid Shoes Black Hyper Royal White 554724-077 Men's Or GS NEW,17299,Brand New,0,True,0
Nike Air Jordan 1 Retro High OG Pollen (GS) Youth shoes 575441-701 size 3.5Y-7Y,5999,Brand New,0,False,0
Nike Air Jordan 9 Retro Low Pantone Blue Size 14 ,2000,Pre-Owned,0,False,
New Nike Court Royale Mens Trainers Sneakers Shoes White 749747 111 (NB),547,New (Other),0,True,13
Nike Air Jordan 1 Mid SE (TD) BQ6933-102 Blue Black EUC Sneakers Toddler Sz 10C,895,Pre-Owned,90,False,
Nike Free RN 2018 Mens Running Shoes Black Anthracite 942836-002,0,Brand New,0,False,0
Nike Zoom KD 12 Men's Shoes Size 10.5 Black Cement Basketball Mid AR4229-002,500,Pre-Owned,795,False,
Nike Air Jordan 4 Retro Lightning Yellow 2021 CT8527-700 Men's/GS/PS/TD Sizes,10000,Brand New,0,False,0
"Nike Air Tailwind 79 ""World Wide"" Shoes Black Crimson Bone CZ5928-001 Men's NEW",0,Brand New,0,False,0
Nike Men's Air Max 90 LTR Lace Up Sneakers FR7 White CZ5594-100 Size 13,999,Pre-Owned,99,False,
Nike Air VaporMax Flyknit 2 Black 2018 (942842-001) Men’s Size 9,0,Pre-Owned,0,False,
NIKE JORDANS BLUE 312528-102 Size 11,0,Pre-Owned,271,False,
Nike Men's Air Max 95 Running Sneakers Mesh Triple Red Size 11.5 NEW!,5995,Brand New,0,True,0
Nike Air Jordan Retro 1 554724-013 Mid Black Red Metallic Gold Game Royal sz 10,946,Pre-Owned,115,False,
Nike Air Force 1 '07 Shoes Black White DC2911-002 Men's Multi Size NEW,2990,Brand New,0,False,0
Nike Joyride Dual Run Black White Hot Punch CD4365-003 Men's Shoes Size 12 ,500,Pre-Owned,0,False,
Nike React SFB Carbon WIDE Mid Outdoor Shoes Black CK9951-001 Men's NEW,5099,Brand New,0,True,0
Nike Kobe XI 11 Low 3D 836183-084 Size 8 Mens Basketball Shoes Sneakers Mamba,2447,Pre-Owned,395,False,
Nike Kyrie ID  Size 9 Men Black Gold 843253-998,100,Pre-Owned,15,False,
Nike Air Monarch IV 415445-102 Athletic Training Shoes Men's Size 9. 5,499,Pre-Owned,125,False,
Nike Drop-Type Premium Casual Shoes CN6916-001 Men's Shoe Size 6.5 Triple Black,898,Brand New,0,False,0
Nike Air Force 1 High QS “Summit White/Black” (Sz. 10),500,Pre-Owned,195,False,
Nike Dunk Low Retro Georgetown - Men's Size 13,3200,Brand New,638,False,0
Nike Air Max Plus Shoes White Black Metallic Gold CZ9188-001 Mens Multi Size NEW,5990,Brand New,0,False,0
NEW 2021 Dallas Cowboys Nike NFL Air Zoom Pegasus 38 Shoe Sneaker DJ0822-001,1999,Brand New,0,False,0
Nike Air Darwin Dennis Rodman White-Teal-Black Sneakers Men's Sz 9 AJ9710-100,500,Pre-Owned,495,False,
Nike Mens Zoom Winflo 3 831563-004 Black Running Shoes Sneakers Size 11,0,Pre-Owned,595,False,
Nike Air Force 1 '07 Shoes White Team Orange DC2911-101 Men's Multi Size NEW,2340,Brand New,0,False,0
Nike Dunk Low SE Multi Camo SIZE 8.5 DH0957-100,7500,Brand New,0,False,0
Authentic Nike Air Max 90 Black Sport Red DC9388-002 Iron Smoke Grey Off White,10000,Brand New,0,False,0
Nike Challenger OG Running Shoes University Red Blue CW7645-600 Men's Multi Size,0,Brand New,0,False,0
Nike Air Jordan 14 XIV Candy Cane Size 8,0,Pre-Owned,795,False,
nike air max zero size 12,400,New (Other),355,False,
Nike COURT ROYALE 2 Mens White Black CQ9246-100 Low Top Leather Sneakers Shoes,495,Brand New,0,False,
MENS Sz 13 NIKE FLYKNIT RACER SHOES MULTICOLOR MC 1.0 BLACK TONGUE 526628 004,2000,Pre-Owned,0,False,
"Nike Air Jordan 1 Mid SE Shoes ""Cinnabar"" Hemp White DM4352-600 Men's & GS NEW",13990,Brand New,0,False,0
Nike Air Jordan 8 Retro Chrome Size 8.5 305381-003,1999,Pre-Owned,795,True,
NIKE WOMENS INTERNATIONALIST RUNNING SNEAKERS SIZE 7.5,0,New (Other),425,False,
 Nike Free RN Flyknit 3.0 Running Sneakers Shoes Black AQ5707-001 Mens Size 9.5,119,New (Other),0,True,0
,,,,False,
nike reax 8 black tr training shoes sneakers men's sizes all sizes new,9099,Brand New,23,False,7
Nike Air Jordan 1 Mid Pollen Black White (GS) 554725-177 Men's Size 554724 177,14800,Brand New,0,False,0
Nike Huarache Men's Size 11,499,Pre-Owned,15,False,
Nike Men's Downshifter 11 Cw3411-006 Black/Dark Smoke Grey/White SZ 8-10 New,219,Brand New,0,False,
NIB NIKE CD0230 016 MEN'S NIKE QUEST 3 BLACK/RED/WHITE RUNNING SHOES,995,Brand New,300,False,
Nike Air Force 1 '07 Low Triple White Men's CW2288-111 New White,999,Brand New,99,False,
NIKE LEGEND REACT 2 RUNNING # AT1368 402 MENS US SZ 9.5 MSRP $100,998,Brand New,99,True,
Nike Free RN 2018 Running Shoes Black Anthracite 942836-002 Men's NEW,799,Brand New,0,True,0
Nike Air Jordan 1 Retro Alpha White University Blue 07 Size Left 11 & Right 11.5,999,Pre-Owned,99,False,
Nike Air Jordan 1 Retro Low Smoke grey shoes men sz 12 black 553558 039,4000,Pre-Owned,0,False,
